superkingdom	phylum	class	order	family	genus	species
748770	Bacteria	Cyanobacteria	NA	Nostocales	Aphanizomenonaceae	Dolichospermum	NA
1166	Bacteria	Cyanobacteria	NA	Nostocales	Aphanizomenonaceae	Dolichospermum	Dolichospermum flos-aquae
1914871	Bacteria	Cyanobacteria	NA	Nostocales	Aphanizomenonaceae	Dolichospermum	Dolichospermum sp. UHCC 0315A
373994	Bacteria	Cyanobacteria	NA	Nostocales	Rivulariaceae	Rivularia	Rivularia sp. PCC 7116
1752063	Bacteria	Cyanobacteria	NA	Nostocales	Hapalosiphonaceae	Fischerella	Fischerella sp. NIES-3754
1617448	Bacteria	Cyanobacteria	NA	Chroococcales	Chroococcaceae	Geminocystis	Geminocystis sp. NIES-3709
1967666	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis sp. MC19
28070	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Gloeothece	NA
2546356	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Gloeothece	Gloeothece citriformis
577489	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Euhalothece	Euhalothece natronophila
379064	Bacteria	Cyanobacteria	NA	Chroococcales	Geminocystaceae	Cyanobacterium	Cyanobacterium aponinum
1150	Bacteria	Cyanobacteria	NA	Oscillatoriales	NA	NA	NA
118323	Bacteria	Cyanobacteria	NA	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria acuminata
1155739	Bacteria	Cyanobacteria	NA	Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
1206	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae	Trichodesmium	Trichodesmium erythraeum
2064643	Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae	Oxynema	Oxynema sp. AP17
1173025	Bacteria	Cyanobacteria	NA	Oscillatoriales	Coleofasciculaceae	Geitlerinema	Geitlerinema sp. PCC 7407
1416614	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter kilaueensis
